epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2097.73,0.34267,0.22916,0.77373,0.99334,0.98858,0.99323,0.9414,0.32716,0.21046,0.82782,0.000365125,0.000365125,0.000365125
86,2121.81,0.34131,0.22844,0.7753,0.99005,0.99391,0.99345,0.94209,0.33248,0.20872,0.82791,0.000362031,0.000362031,0.000362031
87,2146.16,0.33989,0.2284,0.77393,0.99206,0.99321,0.9936,0.9418,0.3309,0.20577,0.82847,0.000358938,0.000358938,0.000358938
88,2169.96,0.33394,0.22862,0.77388,0.9934,0.98759,0.99313,0.94317,0.32942,0.20463,0.82857,0.000355844,0.000355844,0.000355844
89,2193.76,0.33565,0.22485,0.77537,0.99279,0.99428,0.9936,0.94147,0.33498,0.21092,0.82783,0.00035275,0.00035275,0.00035275
90,2217.62,0.3412,0.22771,0.77285,0.99219,0.99108,0.99355,0.94918,0.32524,0.20994,0.8281,0.000349656,0.000349656,0.000349656
91,2241.79,0.32967,0.22098,0.77404,0.98978,0.9942,0.99365,0.9436,0.32997,0.20672,0.82807,0.000346563,0.000346563,0.000346563
92,2266.56,0.35249,0.23435,0.77532,0.99029,0.9908,0.99356,0.93756,0.33998,0.20941,0.82847,0.000343469,0.000343469,0.000343469
93,2290.89,0.33814,0.22642,0.77404,0.99288,0.99287,0.9939,0.94332,0.32105,0.20505,0.82791,0.000340375,0.000340375,0.000340375
94,2314.75,0.3314,0.22474,0.77166,0.99369,0.98853,0.99368,0.9438,0.32683,0.20477,0.82795,0.000337281,0.000337281,0.000337281
95,2338.64,0.33213,0.22458,0.77406,0.98439,0.99459,0.99336,0.93967,0.33562,0.20747,0.82844,0.000334188,0.000334188,0.000334188
96,2362.75,0.33677,0.22662,0.77343,0.99136,0.99401,0.99391,0.94194,0.3251,0.2035,0.82784,0.000331094,0.000331094,0.000331094
97,2386.72,0.33027,0.2219,0.77323,0.99262,0.99145,0.99374,0.94588,0.31721,0.20424,0.82731,0.000328,0.000328,0.000328
98,2410.68,0.33094,0.21982,0.77439,0.99329,0.99106,0.9935,0.94375,0.31241,0.19844,0.82672,0.000324906,0.000324906,0.000324906
99,2434.6,0.31683,0.21599,0.77255,0.9921,0.99278,0.99374,0.94454,0.32508,0.20365,0.82794,0.000321812,0.000321812,0.000321812
100,2458.47,0.33077,0.22109,0.77337,0.9922,0.99222,0.99378,0.94797,0.31978,0.199,0.82717,0.000318719,0.000318719,0.000318719
101,2482.4,0.33028,0.21925,0.77231,0.99309,0.99118,0.99338,0.94614,0.32192,0.20016,0.82719,0.000315625,0.000315625,0.000315625
102,2506.45,0.32207,0.21804,0.77307,0.98898,0.99412,0.99363,0.94921,0.31409,0.19659,0.82658,0.000312531,0.000312531,0.000312531
103,2530.7,0.32538,0.21768,0.77297,0.99293,0.99153,0.99349,0.94726,0.32008,0.20253,0.82684,0.000309437,0.000309437,0.000309437
104,2554.81,0.32456,0.21818,0.7736,0.99155,0.99021,0.99377,0.94746,0.31876,0.20087,0.82694,0.000306344,0.000306344,0.000306344
105,2579.58,0.3216,0.21605,0.77248,0.99232,0.99396,0.99365,0.94542,0.31945,0.19973,0.82728,0.00030325,0.00030325,0.00030325
106,2605.03,0.32115,0.21536,0.77395,0.99273,0.99198,0.99352,0.94371,0.31402,0.1938,0.82683,0.000300156,0.000300156,0.000300156
107,2630.19,0.32105,0.21038,0.77435,0.99253,0.99389,0.99367,0.94901,0.31185,0.19377,0.82678,0.000297063,0.000297063,0.000297063
108,2655.3,0.31162,0.21426,0.77341,0.99228,0.99274,0.99369,0.9511,0.308,0.19395,0.82651,0.000293969,0.000293969,0.000293969
109,2680.22,0.31965,0.21603,0.77247,0.9907,0.99499,0.99379,0.95005,0.30536,0.1912,0.82645,0.000290875,0.000290875,0.000290875
110,2703.87,0.31319,0.2091,0.77277,0.9909,0.99498,0.99362,0.94974,0.31329,0.19271,0.82669,0.000287781,0.000287781,0.000287781
111,2727.62,0.32851,0.21874,0.77259,0.99365,0.99135,0.99341,0.94758,0.31566,0.19867,0.8268,0.000284688,0.000284688,0.000284688
112,2753.49,0.31945,0.21183,0.77253,0.99359,0.99248,0.99368,0.95099,0.30678,0.19144,0.82612,0.000281594,0.000281594,0.000281594
113,2777.23,0.30997,0.20695,0.7726,0.99327,0.99266,0.99385,0.95074,0.30761,0.19334,0.82586,0.0002785,0.0002785,0.0002785
114,2800.84,0.3154,0.21131,0.77318,0.99378,0.99167,0.99366,0.94773,0.31377,0.19572,0.82681,0.000275406,0.000275406,0.000275406
115,2824.55,0.31828,0.21429,0.7709,0.99041,0.99471,0.9938,0.95112,0.30795,0.19441,0.8268,0.000272313,0.000272313,0.000272313
116,2848.44,0.31025,0.21068,0.77338,0.99287,0.99506,0.99375,0.95147,0.30187,0.18958,0.82639,0.000269219,0.000269219,0.000269219
